End Date,company_name,linkedin_influenced_impressions_sends_threshold_10,linkedin_influenced_click_opens_threshold_3,account_reached,ctr_score,spm_open_rate_score,frequency_score,frequency,total_impressions,total_sends,total_clicks,total_opens,ctr,spm_open_rate,total_conversions,total_engagements,total_leads,unique_employees_reached,rank_imps
6/6/2026,Alcon,Yes,Yes,Reached,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,3.60E+00,717,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,Below Reporting Threshold,0,3,0,199,81
6/6/2026,Real Chemistry,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.96E+00,708,Below Reporting Threshold,8,Below Reporting Threshold,1.13E-02,Below Reporting Threshold,0,14,0,179,82
6/6/2026,Fashion Institute of Technology,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.82E+00,706,Below Reporting Threshold,9,Below Reporting Threshold,1.27E-02,Below Reporting Threshold,0,9,0,185,83
6/6/2026,Chewy,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.12E+00,706,Below Reporting Threshold,10,Below Reporting Threshold,1.42E-02,Below Reporting Threshold,0,13,0,226,83
6/6/2026,ExxonMobil,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.38E+00,703,Below Reporting Threshold,12,Below Reporting Threshold,1.71E-02,Below Reporting Threshold,0,16,0,296,85
6/6/2026,Robert Half,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.89E+00,697,Below Reporting Threshold,6,Below Reporting Threshold,8.61E-03,Below Reporting Threshold,0,10,0,241,86
6/6/2026,Travelers,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.46E+00,695,Below Reporting Threshold,7,Below Reporting Threshold,1.01E-02,Below Reporting Threshold,0,7,0,283,87
6/6/2026,Prudential Financial,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.32E+00,693,Below Reporting Threshold,9,Below Reporting Threshold,1.30E-02,Below Reporting Threshold,0,10,0,209,88
6/6/2026,Zillow,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,3.34E+00,688,Below Reporting Threshold,15,Below Reporting Threshold,2.18E-02,Below Reporting Threshold,0,20,0,206,89
6/6/2026,Chase,Yes,Yes,Reached,Above Threshold,Below Reporting Threshold,Above Threshold,2.00E+00,661,Below Reporting Threshold,3,Below Reporting Threshold,4.54E-03,Below Reporting Threshold,0,4,0,330,90
